Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
400000;ADM;PASS;0;12;11;7;16;7;15;8;15;11;;16;176;F;15;CEG DIDAURE
400001;AJ;;0;9;12;6;10;6;11;6;5;15;;12;128;F;21;CEG DIDAURE
400002;ADM;ABIEN;0;14;11;7;17;9;17;14;16;13;0;17;204;M;20;CPL DAR' SALAM
400003;ADM;PASS;0;12;15;6;15;11;14;7;12;10;;17;177;F;22;CPL DAR' SALAM
400004;AJ;;0;11;13;3;14;10;8;5;5;11;;16;133;F;18;CEG DIDAURE
400005;ADM;PASS;0;12;14;4;17;9;13;6;14;15;;16;176;M;18;CEG DIDAURE
400006;AJ;;6;12;12;6;14;10;5;3;12;11;;17;148;F;16;CEG DIDAURE
400007;ADM;PASS;0;13;13;6;17;12;11;9;13;0;16;18;185;F;15;CEG DIDAURE
400008;AJ;;0;9;12;3;13;7;10;6;9;13;;17;137;M;19;CEG DIDAURE
400009;AJ;;0;7;10;1;15;5;12;1;12;13;;19;127;M;16;CPL MENELIK II
400010;AJ;;0;7;11;5;18;7;5;5;8;12;;13;130;M;15;CEG DIDAURE
400011;AJ;;0;5;12;8;12;10;10;10;7;13;;19;151;M;18;CEG DIDAURE
400012;ADM;ABIEN;0;11;14;9;17;9;15;11;11;15;15;18;198;M;18;CPL LA LUMIÈRE
400013;ADM;PASS;0;12;10;7;17;6;10;7;13;13;;15;160;M;18;CEG DIDAURE
400014;ADM;PASS;0;9;14;5;19;10;13;9;11;11;;18;177;M;24;CEG DIDAURE
400015;ADM;PASS;0;11;14;8;11;10;13;10;7;14;16;15;171;F;16;CPL LA LUMIÈRE
400016;ADM;ABIEN;0;12;14;11;20;9;14;14;16;13;;18;216;M;16;CEG DIDAURE
400017;AJ;;0;9;12;2;17;5;7;9;7;15;11;;133;M;19;CEG DIDAURE
400018;ADM;ABIEN;0;13;14;7;18;8;15;11;15;0;13;16;197;M;15;CEG DIDAURE
400019;ADM;PASS;0;11;14;8;12;8;15;10;15;15;17;19;190;F;20;CPL LA LUMIÈRE
400020;ADM;PASS;0;7;15;4;19;10;15;10;16;11;17;;191;M;16;CEG DIDAURE
400021;AJ;;0;11;11;3;17;8;5;5;14;11;;12;140;F;19;CEG DIDAURE
400022;AJ;;0;10;10;5;14;7;8;5;9;12;;16;133;M;19;CEG DIDAURE
400023;AJ;;0;7;10;2;9;10;7;5;5;15;6;;108;F;16;CEG DIDAURE
400024;AJ;;0;9;11;3;15;12;7;9;9;15;;16;151;F;15;CEG DIDAURE
400025;ADM;PASS;1;14;12;5;17;10;10;4;12;12;;14;161;F;15;CEG DIDAURE
400026;AJ;;0;13;11;4;14;7;11;7;12;10;14;;149;F;15;CPL MON AVENIR - SOKODE
400027;AJ;;0;7;11;6;13;8;12;6;10;15;;8;144;M;22;CPL MENELIK II
400028;ADM;PASS;0;14;12;5;16;10;14;8;13;15;;11;176;F;15;CPL MON AVENIR - SOKODE
400029;AJ;;0;10;8;10;11;7;11;9;8;15;14;12;149;F;14;CPL LA LUMIÈRE
400030;ADM;PASS;0;11;12;9;16;8;12;9;10;14;;8;167;M;17;CEG DIDAURE
400031;ADM;PASS;6;11;10;5;14;10;17;7;12;15;;16;177;M;15;CPL DAR' SALAM
400032;AJ;;0;10;9;3;8;6;7;8;8;14;0;8;112;M;20;CEG DIDAURE
400033;ADM;BIEN;10;15;16;13;19;11;15;10;11;13;15;13;226;F;18;CPL LA LUMIÈRE
400034;AJ;;0;11;12;5;13;11;11;6;9;10;15;;150;F;14;CPL MON AVENIR - SOKODE
