Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissements
500000;ADM;PASS;0;5;12;6;17;8;13;7;18;15;14;;176;M;21;CEG KANDE VILLE I
500001;ADM;PASS;0;8;11;5;18;8;10;9;17;12;15;;171;M;21;CEG KANDE VILLE I
500002;ADM;PASS;0;9;11;9;14;6;12;11;13;11;14;;166;M;19;CEG KANDE VILLE I
500003;ADM;ABIEN;6;14;15;7;18;7;13;9;17;10;13;;195;M;16;CEG KANDE VILLE I
500004;ADM;PASS;0;7;11;6;17;9;11;7;13;10;15;;160;M;14;CEG KANDE VILLE I
500005;AJ;;0;5;12;6;14;7;9;8;13;14;13;;150;M;20;CEG KANDE VILLE I
500006;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;F;19;CEG KANDE VILLE I
500007;ADM;PASS;1;8;11;4;13;9;13;9;15;10;13;;160;F;17;CEG KANDE VILLE I
500008;ADM;PASS;0;9;10;7;16;8;13;8;15;15;11;;169;M;19;CEG KANDE VILLE I
500009;ADM;PASS;0;11;12;10;15;6;16;7;14;10;11;;172;M;15;CEG KANDE VILLE I
500010;AJ;;0;10;15;7;10;5;7;6;16;11;14;;147;F;14;CEG KANDE VILLE I
500011;ADM;ABIEN;0;17;16;10;19;11;17;10;14;14;15;;220;M;14;CEG KANDE VILLE I
500012;ADM;PASS;1;13;11;5;17;10;12;9;18;10;15;;183;F;18;CEG KANDE VILLE I
500013;AJ;;0;7;12;4;17;8;8;7;10;12;9;;141;M;17;CEG PESSIDE
500014;ADM;PASS;0;10;9;7;17;8;11;7;15;15;11;;164;M;20;CEG KANDE VILLE I
500015;ADM;PASS;0;13;12;4;17;9;13;8;17;0;15;;178;F;16;CEG KANDE VILLE I
500016;ADM;PASS;1;5;11;8;15;5;11;7;16;13;15;;160;M;20;CEG KANDE VILLE I
500017;AJ;;0;5;9;4;13;7;11;10;12;15;10;;142;F;17;CEG KANDE VILLE I
500018;ADM;ABIEN;0;6;11;13;16;10;15;10;15;15;15;;196;F;13;CEG KANDE VILLE I
500019;AJ;;0;5;10;5;11;7;6;5;13;13;6;;122;F;14;CEG KANDE VILLE I
500020;ADM;PASS;0;9;12;9;17;8;13;10;12;13;14;;178;F;16;CEG KANDE VILLE I
500021;ADM;PASS;0;11;10;10;18;8;13;10;15;12;15;;186;M;18;CEG KANDE VILLE I
500022;ADM;PASS;0;9;11;10;18;7;12;10;17;13;15;;187;F;16;CEG KANDE VILLE I
500023;ADM;ABIEN;7;12;14;4;20;7;17;9;16;11;15;;199;M;17;CEG KANDE VILLE I
500024;ADM;PASS;0;5;11;7;18;6;11;9;15;0;15;;164;M;22;CEG KANDE VILLE I
500025;AJ;;0;1;8;6;10;6;10;6;10;13;10;;116;M;17;CEG KANDE VILLE I
500026;AJ;;0;1;10;4;15;6;10;6;15;15;8;;138;M;17;CEG KANDE VILLE I
500027;ADM;PASS;0;4;12;5;16;10;10;8;15;15;11;;162;F;22;CEG PESSIDE
500028;ADM;PASS;0;8;12;6;18;11;12;7;17;15;11;;180;M;18;CEG KANDE VILLE I
500029;ADM;ABIEN;0;16;11;12;19;10;14;10;17;10;13;;205;M;16;CEG KANDE VILLE I
500030;ADM;PASS;1;9;11;7;11;8;11;8;15;15;14;;161;F;22;CEG KANDE VILLE I
500031;ADM;PASS;0;5;9;11;16;7;10;11;17;15;15;;177;F;15;CEG KANDE VILLE I
500032;ADM;BIEN;8;14;15;10;19;9;19;13;18;10;15;;233;M;15;CEG KANDE VILLE I
500033;ADM;PASS;0;5;13;5;16;4;11;12;18;15;15;;173;F;14;CEG KANDE VILLE I
500034;ADM;PASS;0;7;12;4;17;5;12;11;16;14;15;;170;F;20;CEG KANDE VILLE I
500035;ADM;PASS;0;12;14;7;18;11;9;8;16;15;12;;185;M;17;CEG PESSIDE
500036;ADM;PASS;0;5;10;5;18;4;15;10;18;13;15;;173;M;15;CEG KANDE VILLE I
500037;ADM;PASS;3;10;13;5;19;5;15;9;16;11;15;;183;M;17;CEG KANDE VILLE I
500038;AJ;;0;4;11;5;16;5;9;8;13;14;15;;147;M;15;CEG KANDE VILLE I
500039;ADM;PASS;1;9;13;9;16;7;13;8;16;0;14;;178;M;17;CEG KANDE VILLE I
500040;AJ;;0;7;10;6;14;7;7;8;16;0;14;;147;F;17;CEG KANDE VILLE I
500041;ADM;PASS;1;10;11;7;14;7;8;7;16;14;15;;160;F;19;CEG KANDE VILLE I
500042;ADM;PASS;3;6;11;6;17;7;11;6;13;15;14;;160;M;18;CEG WARENGO
500043;AJ;;0;5;14;4;15;5;13;5;11;13;13;;145;F;18;CEG KANDE VILLE I
500044;ADM;ABIEN;0;7;14;12;14;11;12;11;15;15;14;;194;M;15;CEG PESSIDE
