Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
108;;;;;;;;;;;;;;;0;F;19;CEG TABLIGBO-VILLE I
117;;;;;;;;;;;;;;;0;F;16;LYCEE DE TOGOVILLE
200000;ADM;PASS;0;6;11;8;13;9;14;11;11;15;;18;170;M;21;CS CHRIST ROI
200001;AJ;;0;10;10;4;7;5;6;5;7;13;;14;105;F;18;CS CHRIST ROI
200002;AJ;;0;7;11;3;13;10;8;5;8;13;;15;131;M;19;CS CHRIST ROI
200003;ADM;PASS;0;15;13;11;15;6;11;16;12;13;;18;191;F;15;CPL LA PASSERELLE
200004;AJ;;0;5;9;5;8;5;11;8;6;12;;8;111;F;21;CS CHRIST ROI
200005;AJ;;0;2;12;1;13;3;9;6;8;11;;14;111;F;19;LYCEE ANEHO VILLE
200006;AJ;;0;5;10;10;16;6;8;11;8;13;9;;146;M;16;LYCEE ANEHO VILLE
200007;AJ;;6;7;9;2;15;5;9;7;6;15;;16;129;F;16;LYCEE ANEHO VILLE
200008;AJ;;0;11;12;6;14;5;11;10;8;10;6;;143;F;15;LYCEE ANEHO VILLE
200009;ADM;BIEN;10;10;10;18;19;12;19;18;13;12;;18;245;M;14;CPL LA PASSERELLE
200010;ADM;PASS;6;12;12;5;18;6;15;14;10;11;10;;179;M;13;COLLEGE SACRE-COEUR ADJIDO
200011;AJ;;0;5;8;3;13;4;9;6;10;15;12;;118;M;17;COLLEGE PROTESTANT ANEHO
200012;ADM;PASS;7;7;10;4;16;9;13;13;7;14;10;;162;F;16;COLLEGE SACRE-COEUR ADJIDO
200013;AJ;;14;16;9;4;13;6;11;4;10;10;5;;144;F;17;COLLEGE PROTESTANT ANEHO
200014;AJ;;0;4;8;5;8;6;7;7;9;13;;15;112;F;20;CPL LA PASSERELLE
200015;AJ;;0;10;9;9;17;4;9;11;6;12;;16;147;F;22;CPL LA PASSERELLE
200016;ADM;PASS;0;8;10;10;15;7;15;16;9;13;12;;177;M;17;CPL LA PASSERELLE
200017;AJ;;2;11;10;4;14;9;13;6;10;10;13;;148;F;17;COLLEGE PROTESTANT ANEHO
200018;ADM;PASS;8;8;12;2;18;9;16;6;9;13;8;;163;M;14;COLLEGE SACRE-COEUR ADJIDO
200019;ADM;PASS;0;8;10;7;16;15;8;12;7;10;;17;163;F;14;LYCEE ANEHO VILLE
200020;AJ;;0;4;9;3;13;7;9;4;5;14;3;;108;M;19;COLLEGE PROTESTANT ANEHO
200021;ADM;PASS;0;8;8;10;17;10;14;11;10;15;;;173;F;20;LYCEE ANEHO VILLE
200022;ADM;PASS;0;9;10;6;16;7;14;15;10;15;;18;175;F;17;LYCEE ANEHO VILLE
