Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
105;AJ;;;;;;;;;;;;;;0;M;14;CEG KPESSI
111;AJ;;;;;;;;;;;;;;0;F;16;CEG GAOUGBLE
300000;AJ;;0;0;0;0;0;0;0;0;0;0;;;0;M;47;CS FREDERICO MAYOR
300001;AJ;;0;4;12;2;8;0;3;1;11;0;15;;83;M;41;CANDIDATS LIBRES - PLATEAUX
300002;AJ;;0;3;9;1;3;2;3;1;9;;11;;60;F;24;CANDIDATS LIBRES - PLATEAUX
300003;ADM;PASS;14;6;10;4;13;5;15;9;14;0;11;;161;M;31;LYCEE ZOMAYI
300004;AJ;;0;2;8;4;16;5;14;4;11;15;;15;136;M;22;CANDIDATS LIBRES - PLATEAUX
300005;ADM;PASS;19;16;0;3;18;18;9;0;18;0;0;;167;M;38;CS FREDERICO MAYOR
300006;ADM;PASS;13;13;12;4;15;8;13;6;15;0;13;15;180;M;35;CANDIDATS LIBRES - PLATEAUX
300007;AJ;;0;10;8;6;11;10;9;8;13;14;13;;147;F;31;CPL LES ELITES DE DEMAIN
300008;AJ;;0;3;10;4;16;8;14;3;10;15;14;;142;F;21;CANDIDATS LIBRES - PLATEAUX
300009;AJ;;0;2;11;2;10;7;8;4;5;13;;6;99;F;22;CANDIDATS LIBRES - PLATEAUX
300010;ADM;PASS;1;5;12;4;18;7;15;7;13;0;12;;160;M;27;CANDIDATS LIBRES - PLATEAUX
300011;AJ;;0;1;9;3;5;6;10;3;5;0;6;;83;M;21;CANDIDATS LIBRES - PLATEAUX
300012;AJ;;9;5;9;1;7;8;6;1;12;Inap.;15;15;112;M;50;CANDIDATS LIBRES - PLATEAUX
300013;AJ;;0;3;12;2;10;8;6;5;11;11;;13;115;M;43;CANDIDATS LIBRES - PLATEAUX
300014;AJ;;0;3;11;3;12;9;9;5;13;15;2;;132;M;25;CANDIDATS LIBRES - PLATEAUX
300015;AJ;;1;6;11;3;13;6;7;4;14;10;;;123;M;28;CANDIDATS LIBRES - PLATEAUX
300016;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;37;CS FREDERICO MAYOR
300017;AJ;;0;6;11;2;6;10;6;3;7;10;10;;96;F;19;CANDIDATS LIBRES - PLATEAUX
300018;AJ;;0;8;10;6;12;7;14;8;7;10;;12;138;M;32;CANDIDATS LIBRES - PLATEAUX
300019;ADM;PASS;1;7;10;7;12;10;13;6;13;15;15;;160;M;18;CANDIDATS LIBRES - PLATEAUX
300020;AJ;;0;0;0;0;0;0;0;0;0;0;;0;0;M;36;LYCEE TOMEGBE
300031;ADM;PASS;0;9;8;8;14;8;13;12;15;10;0;6;165;F;14;CEG-A/ENS ATAKPAME
300032;AJ;;0;6;9;2;11;8;9;5;9;15;;11;118;M;17;LYCEE AFEYE-KPOTA
300033;AJ;;0;10;7;2;10;8;13;3;9;10;;11;115;F;15;LYCEE AFEYE-KPOTA
300034;AJ;;0;7;7;7;11;11;15;6;11;10;;15;148;F;19;LYCEE AFEYE-KPOTA
300035;ADM;PASS;0;8;10;7;17;10;15;11;14;13;;15;184;F;16;LYCEE AFEYE-KPOTA
300036;ADM;ABIEN;6;11;7;10;18;15;13;14;13;10;11;;198;M;14;CEG-A/ENS ATAKPAME
300037;ADM;PASS;0;13;9;7;16;11;16;10;14;10;;12;181;M;17;LYCEE AFEYE-KPOTA
300038;ADM;PASS;0;7;7;6;15;8;18;8;15;10;;12;163;M;15;LYCEE AFEYE-KPOTA
300039;ADM;PASS;0;7;10;7;20;10;18;11;13;14;0;11;190;M;16;CEG-A/ENS ATAKPAME
300040;AJ;;0;6;10;7;10;8;10;5;12;14;13;;137;M;20;LYCEE AFEYE-KPOTA
300041;ADM;ABIEN;0;10;12;14;17;9;17;9;14;12;;11;197;M;16;LYCEE AFEYE-KPOTA
300042;AJ;;0;0;0;0;0;0;0;0;0;0;;0;0;M;16;LYCEE AFEYE-KPOTA
300043;ADM;PASS;0;9;13;7;18;15;15;8;12;15;;8;190;M;22;LYCEE AFEYE-KPOTA
300044;ADM;BIEN;2;15;14;17;19;12;19;19;16;10;12;;251;M;14;CEG-A/ENS ATAKPAME
300045;ADM;ABIEN;2;8;13;9;17;8;19;13;11;13;11;;194;F;14;CEG-A/ENS ATAKPAME
300046;ADM;BIEN;8;14;13;7;18;9;19;19;17;10;15;;231;M;15;CEG-A/ENS ATAKPAME
300047;ADM;ABIEN;8;11;13;8;18;11;16;13;14;10;15;;210;M;14;CEG-A/ENS ATAKPAME
300048;ADM;ABIEN;0;10;13;14;19;10;17;17;12;10;15;6;219;M;16;CEG-A/ENS ATAKPAME
300049;AJ;;0;6;11;3;8;9;4;4;8;0;11;13;104;F;17;LYCEE AFEYE-KPOTA
300050;AJ;;0;3;7;6;11;8;9;3;5;10;;8;101;F;16;LYCEE AFEYE-KPOTA
300051;AJ;;0;6;10;6;13;8;12;5;11;13;0;15;144;M;16;CEG-A/ENS ATAKPAME
300052;ADM;PASS;1;10;10;7;14;10;13;7;14;10;8;;161;M;16;LYCEE AFEYE-KPOTA
300053;ADM;PASS;0;9;12;10;16;10;14;8;10;15;15;;179;M;14;CEG-A/ENS ATAKPAME
300054;ADM;PASS;0;6;11;6;17;11;18;11;15;11;;12;187;M;15;LYCEE AFEYE-KPOTA
300055;AJ;;0;3;8;4;8;9;9;1;7;11;14;;100;M;18;LYCEE AFEYE-KPOTA
300056;ADM;PASS;0;6;8;6;17;11;11;9;14;11;;14;163;F;14;LYCEE AFEYE-KPOTA
300057;ADM;ABIEN;1;13;12;9;19;11;14;12;17;10;14;;206;M;16;CEG-A/ENS ATAKPAME
300058;ADM;PASS;0;7;11;7;15;9;13;9;11;12;;15;164;F;22;LYCEE AFEYE-KPOTA
300059;ADM;PASS;0;10;11;7;15;8;14;8;11;11;;14;163;M;19;LYCEE AFEYE-KPOTA
300060;ADM;ABIEN;0;14;10;9;18;11;19;12;14;11;15;;206;M;16;CEG-A/ENS ATAKPAME
300061;ADM;PASS;0;8;11;6;16;15;15;7;17;0;14;;186;F;18;CEG-A/ENS ATAKPAME
300062;AJ;;0;3;9;1;6;8;5;3;10;0;;12;89;F;21;LYCEE AFEYE-KPOTA
300063;ADM;PASS;6;12;7;8;13;15;12;4;14;13;;15;172;F;15;LYCEE AFEYE-KPOTA
300064;AJ;;0;3;6;6;12;6;16;7;11;10;;11;132;M;23;LYCEE AFEYE-KPOTA
300065;ADM;ABIEN;4;12;10;7;18;12;18;12;13;11;15;;202;M;14;CEG-A/ENS ATAKPAME
300066;ADM;ABIEN;7;10;10;7;19;14;17;10;16;10;0;15;208;M;13;CEG-A/ENS ATAKPAME
300067;AJ;;0;5;8;6;10;6;12;4;11;10;;13;122;M;18;LYCEE AFEYE-KPOTA
300068;ADM;ABIEN;10;14;10;13;16;11;18;12;15;10;;15;219;M;14;CEG-A/ENS ATAKPAME
300069;AJ;;0;6;6;5;5;7;5;4;9;10;;13;91;F;18;LYCEE AFEYE-KPOTA
300070;AJ;;0;7;10;6;11;4;9;8;6;12;;14;121;F;21;LYCEE AFEYE-KPOTA
300071;ADM;PASS;0;7;8;9;16;6;16;11;12;11;14;;168;F;19;CEG-A/ENS ATAKPAME
300072;ADM;BIEN;5;12;8;14;18;13;18;13;15;15;13;11;224;F;17;CEG-A/ENS ATAKPAME
300073;ADM;PASS;0;3;8;12;17;6;16;7;14;15;;14;172;F;20;LYCEE AFEYE-KPOTA
300074;ADM;PASS;5;10;9;8;18;11;15;8;16;10;;15;190;M;17;LYCEE AFEYE-KPOTA
300075;ADM;PASS;0;7;6;8;18;11;17;10;17;12;15;;188;M;15;CEG-A/ENS ATAKPAME
300076;ADM;PASS;0;6;10;8;15;9;15;7;17;10;;15;173;M;18;LYCEE AFEYE-KPOTA
300077;ADM;PASS;1;12;8;7;16;9;13;9;10;11;12;;160;F;20;LYCEE AFEYE-KPOTA
300078;ADM;PASS;1;7;8;7;13;7;15;8;16;10;;15;161;M;22;LYCEE AFEYE-KPOTA
300079;ADM;PASS;1;15;10;4;12;10;15;5;13;13;13;;160;F;20;LYCEE AFEYE-KPOTA
300080;ADM;BIEN;13;18;10;13;16;16;16;17;19;10;15;;250;F;15;CEG-A/ENS ATAKPAME
300081;ADM;ABIEN;9;14;11;7;17;12;18;10;12;14;;15;206;M;16;LYCEE AFEYE-KPOTA
300082;ADM;ABIEN;4;10;10;11;17;8;17;15;19;10;15;;213;M;14;CEG-A/ENS ATAKPAME
300083;ADM;BIEN;10;15;9;15;18;9;17;18;18;14;11;;238;F;16;CEG-A/ENS ATAKPAME
300084;AJ;;0;4;7;2;13;4;10;4;11;12;;8;108;M;20;LYCEE AFEYE-KPOTA
300085;ADM;PASS;4;11;9;10;17;11;14;7;12;10;14;;179;F;14;CEG-A/ENS ATAKPAME
300086;ADM;PASS;1;6;8;9;14;8;16;9;12;10;;12;161;M;16;LYCEE AFEYE-KPOTA
300087;AJ;;0;3;7;3;17;5;13;4;12;10;;8;125;M;19;LYCEE AFEYE-KPOTA
300088;ADM;PASS;8;9;13;5;17;7;17;7;12;10;14;;177;F;16;LYCEE AFEYE-KPOTA
300089;AJ;;0;2;8;7;16;3;7;5;13;10;;8;120;M;21;LYCEE AFEYE-KPOTA
300090;ADM;PASS;1;4;9;9;15;6;18;9;10;12;;11;160;F;22;LYCEE AFEYE-KPOTA
300091;ADM;PASS;0;10;8;10;15;10;16;13;13;11;14;;185;F;21;LYCEE AFEYE-KPOTA
300092;ADM;PASS;1;7;7;7;10;8;14;9;18;15;0;12;161;F;16;LYCEE AFEYE-KPOTA
300093;ADM;ABIEN;10;14;10;11;18;14;16;9;16;15;15;;222;M;18;CEG-A/ENS ATAKPAME
300094;AJ;;0;8;7;7;13;11;12;8;12;10;;8;148;M;21;LYCEE AFEYE-KPOTA
300095;AJ;;0;5;9;3;12;11;17;7;11;12;;7;147;F;17;LYCEE AFEYE-KPOTA
300096;ADM;PASS;5;7;8;4;14;12;13;11;12;10;;8;160;M;19;LYCEE AFEYE-KPOTA
300097;ADM;PASS;0;9;7;9;16;10;17;12;12;11;0;7;176;F;16;CEG-A/ENS ATAKPAME
300098;ADM;PASS;0;4;7;6;17;10;18;8;16;11;;9;169;M;21;LYCEE AFEYE-KPOTA
300099;ADM;PASS;1;8;11;4;16;10;15;8;14;12;8;;167;M;17;CEG-A/ENS ATAKPAME
300100;AJ;;0;5;9;4;15;7;14;3;10;13;;7;132;F;14;LYCEE AFEYE-KPOTA
300101;ADM;ABIEN;0;10;9;12;14;8;17;19;16;13;8;;203;F;16;CEG-A/ENS ATAKPAME
300102;ADM;ABIEN;0;14;8;17;15;10;16;13;12;10;9;;196;M;16;LYCEE AFEYE-KPOTA
300103;ADM;PASS;1;13;8;7;14;13;12;5;12;10;;15;161;M;17;LYCEE AFEYE-KPOTA
300104;ADM;PASS;0;4;7;14;16;7;15;17;10;12;;15;183;M;21;LYCEE AFEYE-KPOTA
300105;ADM;ABIEN;7;11;9;14;17;12;17;15;15;10;0;;216;F;15;CEG-A/ENS ATAKPAME
300106;AJ;;0;5;10;4;9;11;11;4;13;12;;9;131;M;17;LYCEE AFEYE-KPOTA
300107;AJ;;0;6;7;3;16;8;13;9;11;11;11;;142;M;17;LYCEE AFEYE-KPOTA
300108;ADM;TBIEN;9;14;13;12;19;16;20;20;18;12;15;;266;M;15;CEG-A/ENS ATAKPAME
300109;ADM;BIEN;10;14;13;15;18;13;20;19;14;10;15;;253;M;14;CEG-A/ENS ATAKPAME
300110;AJ;;0;3;7;3;14;11;13;5;9;10;;11;128;M;15;LYCEE AFEYE-KPOTA
300111;AJ;;0;9;9;5;14;5;13;6;11;0;6;;135;M;17;LYCEE AFEYE-KPOTA
300112;AJ;;0;6;12;5;13;6;10;3;13;10;9;;130;M;16;CEG-A/ENS ATAKPAME
300113;ADM;BIEN;0;12;14;9;18;14;18;18;15;10;14;;228;F;16;CEG-A/ENS ATAKPAME
300114;AJ;;4;11;9;4;13;4;12;5;16;13;7;;144;M;17;LYCEE AFEYE-KPOTA
300115;AJ;;0;5;9;4;8;5;4;2;13;10;;15;100;M;16;LYCEE AFEYE-KPOTA
300116;AJ;;0;6;9;4;15;7;14;6;8;12;12;8;136;M;20;LYCEE AFEYE-KPOTA
300117;ADM;PASS;0;6;9;8;17;9;13;11;12;13;;7;167;F;19;LYCEE AFEYE-KPOTA
300118;AJ;;0;8;12;7;12;6;9;9;10;15;0;11;144;F;17;CEG-A/ENS ATAKPAME
300119;ADM;PASS;0;13;9;9;18;11;13;11;14;10;9;;183;F;14;CEG-A/ENS ATAKPAME
300120;ADM;PASS;1;3;9;8;17;9;12;12;11;10;6;;160;F;17;CEG-A/ENS ATAKPAME
300121;ADM;PASS;0;11;10;9;11;10;12;10;12;14;;13;166;F;14;LYCEE AFEYE-KPOTA
300122;ADM;PASS;0;10;10;7;15;9;16;10;17;12;;;180;M;18;LYCEE AFEYE-KPOTA
300123;AJ;;0;7;8;2;12;4;11;4;13;10;7;;115;M;13;LYCEE AFEYE-KPOTA
300124;ADM;TBIEN;20;19;15;17;17;18;18;19;17;10;14;;285;F;14;CEG-A/ENS ATAKPAME
300125;AJ;;0;8;9;3;16;11;13;6;12;10;;11;149;M;15;LYCEE AFEYE-KPOTA
300126;ADM;PASS;1;9;9;8;12;10;15;9;13;14;;8;166;F;18;LYCEE AFEYE-KPOTA
300127;ADM;PASS;0;10;8;12;15;7;15;12;14;10;;13;179;M;16;LYCEE AFEYE-KPOTA
300128;AJ;;0;8;9;6;15;5;12;5;14;11;11;;142;M;17;CEG-A/ENS ATAKPAME
300129;AJ;;0;5;7;5;3;5;6;4;10;10;;11;86;F;21;LYCEE AFEYE-KPOTA
300130;AJ;;0;8;7;5;7;6;11;6;15;13;;13;128;M;22;LYCEE AFEYE-KPOTA
300131;ADM;PASS;1;7;6;6;13;6;16;13;16;0;;0;160;M;26;LYCEE AFEYE-KPOTA
300132;ADM;ABIEN;0;15;10;11;16;12;18;11;17;0;;15;210;F;15;LYCEE AFEYE-KPOTA
300133;ADM;ABIEN;0;9;12;14;17;10;16;14;14;10;13;;206;M;14;CEG-A/ENS ATAKPAME
300134;ADM;ABIEN;0;9;11;16;19;8;16;16;14;11;13;;213;F;15;CEG-A/ENS ATAKPAME
300135;AJ;;0;6;8;3;7;4;8;3;7;14;13;;93;M;22;LYCEE AFEYE-KPOTA
300136;AJ;;0;4;8;3;9;9;10;1;14;12;;13;117;M;17;LYCEE AFEYE-KPOTA
300137;ADM;PASS;0;5;11;8;14;9;18;9;14;12;;;173;M;23;LYCEE AFEYE-KPOTA
300138;ADM;PASS;0;12;11;8;17;7;13;10;11;14;;11;171;M;22;LYCEE AFEYE-KPOTA
300139;AJ;;0;7;10;3;12;9;13;6;11;12;;13;140;M;18;LYCEE AFEYE-KPOTA
300140;ADM;ABIEN;0;7;9;12;19;9;19;16;15;10;15;;210;M;17;CEG-A/ENS ATAKPAME
300141;AJ;;0;4;9;1;12;8;15;5;10;12;12;;128;M;19;LYCEE AFEYE-KPOTA
300142;ADM;ABIEN;0;10;11;13;15;14;15;16;14;11;;15;212;F;16;LYCEE AFEYE-KPOTA
300143;ADM;PASS;0;9;12;6;14;7;14;11;11;14;13;;166;F;14;CEG-A/ENS ATAKPAME
300144;AJ;;0;5;8;6;12;4;12;6;9;13;;15;127;M;21;LYCEE AFEYE-KPOTA
300145;ADM;PASS;0;5;9;8;14;9;15;9;15;13;9;;166;M;19;LYCEE AFEYE-KPOTA
300146;ADM;PASS;0;5;10;9;16;7;18;13;13;13;15;;185;F;18;LYCEE AFEYE-KPOTA
300147;AJ;;0;8;10;5;9;6;9;6;14;10;;15;131;M;18;LYCEE AFEYE-KPOTA
300148;AJ;;0;3;10;6;6;7;11;7;12;13;;;124;F;23;LYCEE AFEYE-KPOTA
300149;ADM;ABIEN;0;9;12;9;18;7;17;12;16;11;12;;194;M;17;CEG-A/ENS ATAKPAME
300150;ADM;PASS;0;9;10;10;15;7;14;11;13;11;11;;171;M;18;LYCEE AFEYE-KPOTA
300151;ADM;PASS;0;6;10;7;15;6;12;11;15;12;;15;165;M;17;LYCEE AFEYE-KPOTA
