Num;Décision;Mention;DICT;QSION;RDACT;MATHS;HGEO;ANGL;SVT;SCPHY;ECM;EPS;DS_EN;LGFAC;Tot;sexe;age;etablissement
600000;AJ;;2;6;9;1;17;9;5;2;11;15;16;;126;F;44;CPL LA DIFFERENCE
600001;ADM;PASS;15;8;10;2;15;10;10;4;13;15;;18;161;M;43;CPL AGOMAYI
600002;AJ;;0;0;0;0;0;0;0;0;0;15;0;;5;M;43;CPL LA FLEUR
600003;ADM;PASS;1;10;10;5;17;10;9;13;10;0;15;19;169;M;33;CPL NOUVELLE JERUSALEM
600004;ADM;PASS;20;9;13;1;19;16;13;3;7;15;15;;183;M;36;CANDIDATS LIBRES - SAVANES
600005;ADM;ABIEN;10;8;10;8;18;8;13;16;15;14;17;;203;M;37;CANDIDATS LIBRES - SAVANES
600006;AJ;;0;2;10;1;9;8;5;2;9;15;14;;99;F;31;CANDIDATS LIBRES - SAVANES
600007;AJ;;8;8;7;6;15;9;9;4;6;13;11;;132;F;32;CPL LA FLEUR
600008;AJ;;0;2;10;2;12;7;3;2;10;0;13;;97;M;34;CPL LA FLEUR
600009;ADM;PASS;9;4;11;5;18;7;11;4;15;0;17;;160;M;43;CANDIDATS LIBRES - SAVANES
600010;AJ;;7;5;11;2;14;9;7;1;7;0;15;;119;F;38;CPL LA FLEUR
600011;AJ;;0;11;10;5;17;4;11;3;14;15;12;;146;M;36;CPL TATCHO
600012;AJ;;15;3;14;2;16;7;12;1;10;12;;11;145;M;44;CEG BAGRÉ
600013;AJ;;0;9;10;2;7;11;8;2;3;15;8;;100;F;24;CANDIDATS LIBRES - SAVANES
600014;AJ;;0;9;10;3;8;12;7;7;7;11;8;;118;F;21;CANDIDATS LIBRES - SAVANES
600015;AJ;;0;3;8;1;15;4;5;1;10;13;11;;95;M;34;CPL NOUVELLE JERUSALEM
600016;AJ;;4;2;12;2;10;6;5;2;7;0;8;;94;F;41;CPL YENDUPAAB
600017;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;F;22;CANDIDATS LIBRES - SAVANES
600018;AJ;;11;3;10;2;9;10;6;2;8;0;;14;112;F;39;CANDIDATS LIBRES - SAVANES
600019;AJ;;8;10;12;4;11;11;6;3;7;0;14;4;130;F;30;CANDIDATS LIBRES - SAVANES
600020;AJ;;0;7;10;1;1;6;1;1;5;0;8;;57;F;35;CANDIDATS LIBRES - SAVANES
600021;ADM;PASS;12;13;12;4;13;8;12;4;12;0;16;;160;F;25;CANDIDATS LIBRES - SAVANES
600022;AJ;;2;6;12;2;9;7;9;2;10;0;15;;115;F;35;CEG YEMBOUR
600023;AJ;;4;2;8;2;13;7;5;1;9;0;16;;101;M;44;CEG KOUNDJOARE
600024;AJ;;0;6;9;1;12;10;13;2;4;15;10;;113;F;22;CANDIDATS LIBRES - SAVANES
600025;AJ;;0;4;9;2;10;6;7;1;3;0;10;;80;M;31;CANDIDATS LIBRES - SAVANES
600026;ADM;PASS;14;9;14;2;16;11;11;1;9;15;18;;161;M;38;CPL LA FLEUR
600027;AJ;;0;6;7;5;13;7;11;5;8;0;13;;121;M;24;CANDIDATS LIBRES - SAVANES
600028;AJ;;0;3;8;1;8;2;8;1;9;15;11;;83;M;43;CANDIDATS LIBRES - SAVANES
600029;ADM;PASS;11;8;10;8;17;10;9;9;7;11;5;;160;F;23;CANDIDATS LIBRES - SAVANES
600030;ADM;PASS;0;7;7;8;14;10;16;10;10;15;0;;162;F;20;CANDIDATS LIBRES - SAVANES
600031;AJ;;0;3;9;1;4;1;2;1;4;10;8;;47;M;31;CANDIDATS LIBRES - SAVANES
600032;AJ;;4;1;7;2;15;10;8;1;4;10;0;13;102;F;25;CANDIDATS LIBRES - SAVANES
600033;AJ;;0;1;5;1;4;2;3;1;2;0;5;;37;M;45;CEG TCHANAGA
600034;AJ;;0;0;0;0;0;0;0;0;0;0;;;0;F;32;CANDIDATS LIBRES - SAVANES
600035;AJ;;1;6;8;3;8;9;6;2;6;0;6;;91;F;24;CANDIDATS LIBRES - SAVANES
600036;AJ;;8;6;10;5;16;8;11;7;5;15;;11;144;M;49;CANDIDATS LIBRES - SAVANES
600037;AJ;;0;2;6;1;5;2;4;1;6;0;7;;52;M;43;CANDIDATS LIBRES - SAVANES
600038;AJ;;0;9;8;2;9;5;12;3;8;15;9;;108;F;22;CANDIDATS LIBRES - SAVANES
600039;AJ;;0;5;7;1;11;6;6;6;4;14;13;;94;M;21;CANDIDATS LIBRES - SAVANES
600040;AJ;;0;0;0;0;0;0;0;0;0;0;0;;0;M;32;CANDIDATS LIBRES - SAVANES
600041;ADM;PASS;17;13;15;4;13;12;10;1;11;15;14;;171;M;38;CPL LA FLEUR
600042;AJ;;5;5;7;1;5;4;5;1;2;0;5;;60;F;34;CANDIDATS LIBRES - SAVANES
600053;ADM;ABIEN;0;8;15;6;16;14;18;9;13;10;;16;195;M;16;CPC FRANCO-ARABE 
600054;AJ;;0;7;10;3;10;9;13;3;6;10;;16;120;F;18;CPC FRANCO-ARABE 
600055;ADM;PASS;0;6;10;7;16;10;15;9;15;11;;15;176;M;17;CPC EL SAHABA
600056;ADM;ABIEN;4;7;10;11;18;10;18;10;13;12;13;;196;M;19;CEG NASSABLE I
600057;ADM;PASS;0;11;12;9;14;14;16;4;11;10;9;;171;F;16;CEG NASSABLE I
600058;ADM;PASS;1;9;9;5;14;13;16;6;10;11;13;;160;F;19;CEG NASSABLE I
600059;AJ;;0;9;8;4;17;7;10;4;10;15;;14;138;F;18;CPC FRANCO-ARABE 
600060;ADM;PASS;1;10;11;8;13;10;14;7;9;10;;15;160;M;17;CPC EL SAHABA
600061;ADM;PASS;0;9;10;9;14;14;14;7;7;12;;8;161;F;16;CEG NASSABLE I
600062;ADM;PASS;0;8;10;7;18;13;12;6;9;11;;19;164;F;15;CPC FRANCO-ARABE 
600063;AJ;;0;10;10;5;14;12;11;5;9;10;;19;147;M;17;CPC FRANCO-ARABE 
600064;ADM;PASS;3;13;13;8;18;11;13;11;11;10;16;;191;F;17;CEG NASSABLE I
600065;ADM;PASS;0;12;11;5;16;10;15;8;16;15;10;;179;F;13;CEG NASSABLE I
600066;AJ;;0;3;8;4;2;7;2;2;4;12;;13;66;M;18;CPC EL SAHABA
600067;AJ;;0;9;8;3;12;8;9;3;9;14;11;;118;M;20;CEG NASSABLE I
600068;AJ;;0;7;7;3;14;10;5;5;9;10;;18;118;F;14;CPC FRANCO-ARABE 
600069;ADM;PASS;0;9;9;7;16;12;17;10;16;10;;18;188;M;14;CPC FRANCO-ARABE 
600070;AJ;;0;5;8;2;12;10;9;4;4;10;;17;108;M;15;CPC FRANCO-ARABE 
600071;AJ;;0;4;12;2;12;10;9;4;8;10;;18;123;F;17;CPC EL SAHABA
600072;ADM;ABIEN;0;8;10;12;17;11;16;9;14;14;;15;195;M;20;CPC EL SAHABA
600073;ADM;ABIEN;6;14;13;10;17;10;17;8;12;10;16;;199;F;17;CEG NASSABLE I
600074;ADM;PASS;0;6;10;8;16;10;14;6;11;13;16;;164;M;25;CEG NASSABLE I
600075;ADM;PASS;0;9;10;7;14;11;17;9;11;11;15;;173;M;19;CEG NASSABLE I
600076;ADM;PASS;0;11;9;8;16;13;13;7;8;10;16;;164;F;17;CEG NASSABLE I
600077;AJ;;0;10;9;3;11;8;12;11;10;0;;6;138;F;18;CEG NASSABLE I
600078;AJ;;0;4;8;1;11;10;10;3;9;12;;17;115;F;17;CPC FRANCO-ARABE 
600079;ADM;PASS;0;10;10;7;14;10;17;12;11;12;13;;177;M;17;CEG NASSABLE I
